STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;eor
        691;18900512;    5;   0.0;   0;   0;eor
        691;18900513;    5;   1.2;   1;   0;eor
        691;18900514;    5;   0.8;   1;   0;eor
        691;18900515;    5;   0.0;   0;   0;eor
        691;18900516;    5;   0.0;   0;   0;eor
        691;18900517;    5;   4.8;   1;   0;eor
        691;18900518;    5;   0.0;   0;   0;eor
        691;18900519;    5;   0.0;   0;   0;eor
        691;18900520;    5;   1.0;   1;   0;eor
        691;18900521;    5;   0.0;   0;   0;eor
        691;18900522;    5;   0.0;   0;   0;eor
        691;18900523;    5;   0.0;   0;   0;eor
        691;18900524;    5;   0.0;   0;   0;eor
        691;18900525;    5;   0.0;   0;   0;eor
        691;18900526;    5;   0.0;   0;   0;eor
        691;18900527;    5;   0.0;   0;   0;eor
        691;18900528;    5;   0.0;   1;   0;eor
        691;18900529;    5;   2.2;   1;   0;eor
        691;18900530;    5;   7.5;   1;   0;eor
        691;18900531;    5;   0.0;   0;   0;eor
        691;18900601;    5;   0.6;   1;   0;eor
        691;18900602;    5;   6.1;   1;   0;eor
        691;18900603;    5;   0.0;   0;   0;eor
        691;18900604;    5;   0.0;   0;   0;eor
        691;18900605;    5;   0.0;   0;   0;eor
        691;18900606;    5;  15.7;   1;   0;eor
        691;18900607;    5;   0.3;   1;   0;eor
        691;18900608;    5;   0.0;   0;   0;eor
        691;18900609;    5;   0.0;   0;   0;eor
        691;18900610;    5;   0.0;   0;   0;eor
        691;18900611;    5;   2.7;   1;   0;eor
        691;18900612;    5;  15.0;   1;   0;eor
        691;18900613;    5;   1.3;   1;   0;eor
        691;18900614;    5;   0.0;   0;   0;eor
        691;18900615;    5;   0.0;   1;   0;eor
        691;18900616;    5;   0.0;   1;   0;eor
        691;18900617;    5;   5.0;   1;   0;eor
        691;18900618;    5;   4.8;   1;   0;eor
        691;18900619;    5;   9.4;   1;   0;eor
        691;18900620;    5;   1.2;   1;   0;eor
        691;18900621;    5;   0.0;   1;   0;eor
        691;18900622;    5;   7.1;   1;   0;eor
        691;18900623;    5;   0.0;   0;   0;eor
        691;18900624;    5;   6.8;   1;   0;eor
        691;18900625;    5;   0.0;   0;   0;eor
        691;18900626;    5;   6.5;   1;   0;eor
        691;18900627;    5;   2.1;   1;   0;eor
