STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_6;MO_NSH;MO_RR;MO_SH_S;MX_RS;eor
        691;18951101;18951130;    5;   -999;    72.7;      0;   22.4;eor
        691;18951201;18951231;    5;   -999;    51.3;      3;   11.3;eor
        691;18960101;18960131;    5;   -999;    30.6;-999;    6.9;eor
        691;18960201;18960229;    5;   -999;    14.8;-999;    5.9;eor
        691;18960301;18960331;    5;   -999;    62.6;-999;   14.9;eor
        691;18960401;18960430;    5;   -999;    56.5;-999;   11.9;eor
        691;18960501;18960531;    5;   -999;    14.8;-999;    5.3;eor
        691;18960601;18960630;    5;   -999;    56.7;-999;    7.9;eor
        691;18960701;18960731;    5;   -999;    84.0;-999;   28.2;eor
        691;18960801;18960831;    5;   -999;    92.6;-999;   13.2;eor
        691;18960901;18960930;    5;   -999;    92.6;-999;   31.9;eor
        691;18961001;18961031;    5;   -999;    46.2;-999;   10.6;eor
        691;18961101;18961130;    5;   -999;    36.8;-999;   12.2;eor
        691;18961201;18961231;    5;   -999;    18.4;-999;    4.6;eor
        691;18970101;18970131;    5;   -999;    19.7;-999;    3.8;eor
        691;18970201;18970228;    5;   -999;    26.8;-999;    9.8;eor
        691;18970301;18970331;    5;   -999;    60.2;-999;    6.3;eor
        691;18970401;18970430;    5;   -999;    51.9;-999;    9.7;eor
        691;18970501;18970531;    5;   -999;    68.9;-999;   12.2;eor
        691;18970601;18970630;    5;   -999;    23.6;-999;   12.7;eor
        691;18970701;18970731;    5;   -999;    57.8;-999;   13.7;eor
        691;18970801;18970831;    5;   -999;    62.2;-999;   12.5;eor
        691;18970901;18970930;    5;   -999;    87.2;-999;   25.5;eor
        691;18971001;18971031;    5;   -999;    26.6;-999;    9.1;eor
        691;18971101;18971130;    5;   -999;    28.9;-999;    7.8;eor
        691;18971201;18971231;    5;   -999;    38.7;-999;    9.6;eor
        691;18980101;18980131;    5;   -999;    48.1;-999;   11.2;eor
        691;18980201;18980228;    5;   -999;    77.2;-999;   14.3;eor
        691;18980301;18980331;    5;   -999;    83.1;-999;   20.9;eor
        691;18980401;18980430;    5;   -999;    35.6;-999;    8.9;eor
        691;18980501;18980531;    5;   -999;    84.2;-999;   10.7;eor
        691;18980601;18980630;    5;   -999;    62.6;-999;   12.7;eor
        691;18980701;18980731;    5;   -999;   106.8;-999;   26.6;eor
        691;18980801;18980831;    5;   -999;    46.3;-999;   12.2;eor
        691;18980901;18980930;    5;   -999;    32.2;-999;    9.1;eor
        691;18981001;18981031;    5;   -999;    46.4;-999;   15.8;eor
        691;18981101;18981130;    5;   -999;    23.3;-999;   10.1;eor
        691;18981201;18981231;    5;   -999;    63.6;-999;   11.6;eor
        691;18990101;18990131;    5;   -999;    53.0;-999;   11.0;eor
        691;18990201;18990228;    5;   -999;    30.7;-999;   11.0;eor
        691;18990301;18990331;    5;   -999;    34.1;-999;   11.9;eor
        691;18990401;18990430;    5;   -999;    63.3;-999;   11.6;eor
        691;18990501;18990531;    5;   -999;    78.1;-999;   19.9;eor
        691;18990601;18990630;    5;   -999;    10.3;-999;    3.7;eor
        691;18990701;18990731;    5;   -999;    70.3;-999;   17.5;eor
        691;18990801;18990831;    5;   -999;    39.9;-999;   12.6;eor
        691;18990901;18990930;    5;   -999;   101.1;-999;   18.0;eor
        691;18991001;18991031;    5;   -999;    34.0;-999;    6.3;eor
        691;18991101;18991130;    5;   -999;    38.2;-999;    8.9;eor
        691;18991201;18991231;    5;   -999;    36.8;-999;    9.4;eor
        691;19000101;19000131;    5;   -999;    61.6;-999;   11.7;eor
        691;19000201;19000228;    5;   -999;    33.4;-999;    6.0;eor
        691;19000301;19000331;    5;   -999;     8.8;-999;    2.5;eor
        691;19000401;19000430;    5;   -999;    40.2;-999;    7.3;eor
        691;19000501;19000531;    5;   -999;    28.2;-999;    9.1;eor
        691;19000601;19000630;    5;   -999;   136.3;-999;   32.2;eor
        691;19000701;19000731;    5;   -999;    94.9;-999;   32.0;eor
        691;19000801;19000831;    5;   -999;    78.5;-999;   17.2;eor
        691;19000901;19000930;    5;   -999;    13.8;-999;    3.2;eor
        691;19001001;19001031;    5;   -999;    74.6;-999;   12.4;eor
        691;19001101;19001130;    5;   -999;    19.7;-999;    4.0;eor
        691;19001201;19001231;    5;   -999;    34.9;-999;    7.9;eor
        691;19010101;19010131;    5;   -999;    28.8;-999;   11.5;eor
        691;19010201;19010228;    5;   -999;    38.1;-999;    6.5;eor
        691;19010301;19010331;    5;   -999;    51.8;-999;   12.9;eor
        691;19010401;19010430;    5;   -999;    71.6;-999;   19.4;eor
        691;19010501;19010531;    5;   -999;    54.7;-999;   12.7;eor
        691;19010601;19010630;    5;   -999;    40.7;-999;   12.8;eor
        691;19010701;19010731;    5;   -999;    66.7;-999;   42.4;eor
        691;19010801;19010831;    5;   -999;    55.4;-999;   16.5;eor
        691;19010901;19010930;    5;   -999;    58.7;-999;   25.5;eor
        691;19011001;19011031;    5;   -999;    64.0;-999;   16.0;eor
        691;19011101;19011130;    5;   -999;    88.2;-999;   15.2;eor
        691;19011201;19011231;    5;   -999;    47.0;-999;    8.6;eor
        691;19020101;19020131;    5;   -999;    55.0;-999;    7.4;eor
        691;19020201;19020228;    5;   -999;    20.2;-999;   11.3;eor
        691;19020301;19020331;    5;   -999;    56.5;-999;   10.3;eor
        691;19020401;19020430;    5;   -999;    74.7;-999;   24.0;eor
        691;19020501;19020531;    5;   -999;    95.4;-999;   10.1;eor
        691;19020601;19020630;    5;   -999;    35.3;-999;    9.8;eor
        691;19020701;19020731;    5;   -999;    87.9;-999;   16.4;eor
        691;19020801;19020831;    5;   -999;    80.0;-999;   11.3;eor
        691;19020901;19020930;    5;   -999;    44.3;-999;   14.1;eor
        691;19021001;19021031;    5;   -999;    48.9;-999;   16.4;eor
        691;19021101;19021130;    5;   -999;     5.7;-999;    1.6;eor
        691;19021201;19021231;    5;   -999;    39.6;-999;    5.9;eor
        691;19030101;19030131;    5;   -999;    32.0;-999;   12.7;eor
        691;19030201;19030228;    5;   -999;    76.5;-999;   16.4;eor
        691;19030301;19030331;    5;   -999;    35.4;-999;   13.8;eor
        691;19030401;19030430;    5;   -999;    75.3;-999;   12.1;eor
        691;19030501;19030531;    5;   -999;    40.3;-999;    8.5;eor
        691;19030601;19030630;    5;   -999;    55.3;-999;   25.7;eor
        691;19030701;19030731;    5;   -999;   109.1;-999;   24.5;eor
        691;19030801;19030831;    5;   -999;   142.7;-999;   27.2;eor
        691;19030901;19030930;    5;   -999;    94.4;-999;   22.6;eor
        691;19031001;19031031;    5;   -999;   101.4;-999;   18.0;eor
        691;19031101;19031130;    5;   -999;    72.4;-999;   12.2;eor
        691;19031201;19031231;    5;   -999;    19.2;-999;    6.9;eor
        691;19040101;19040131;    5;   -999;    35.1;-999;    5.8;eor
        691;19040201;19040229;    5;   -999;    52.8;-999;    8.5;eor
        691;19040301;19040331;    5;   -999;    33.5;-999;   13.3;eor
        691;19040401;19040430;    5;   -999;    50.1;-999;    8.7;eor
        691;19040501;19040531;    5;   -999;    57.2;-999;   15.0;eor
        691;19040601;19040630;    5;   -999;    36.7;-999;   10.2;eor
        691;19040701;19040731;    5;   -999;    27.6;-999;    7.5;eor
        691;19040801;19040831;    5;   -999;    35.2;-999;    6.9;eor
        691;19040901;19040930;    5;   -999;    22.6;-999;   10.2;eor
        691;19041001;19041031;    5;   -999;    46.2;-999;   12.9;eor
        691;19041101;19041130;    5;   -999;    67.5;-999;   19.6;eor
        691;19041201;19041231;    5;   -999;    32.7;-999;    5.9;eor
        691;19050101;19050131;    5;   -999;    51.2;-999;   12.2;eor
        691;19050201;19050228;    5;   -999;    38.9;-999;    8.3;eor
        691;19050301;19050331;    5;   -999;    53.6;-999;    9.5;eor
        691;19050401;19050430;    5;   -999;    57.0;-999;    7.9;eor
        691;19050501;19050531;    5;   -999;    30.0;-999;   24.0;eor
        691;19050601;19050630;    5;   -999;    73.6;-999;   12.9;eor
        691;19050701;19050731;    5;   -999;    81.2;-999;   14.4;eor
        691;19050801;19050831;    5;   -999;    73.2;-999;   20.4;eor
        691;19050901;19050930;    5;   -999;    56.8;-999;   12.3;eor
        691;19051001;19051031;    5;   -999;   160.0;-999;   51.4;eor
        691;19051101;19051130;    5;   -999;    42.1;-999;   14.4;eor
        691;19051201;19051231;    5;   -999;    46.3;-999;   12.6;eor
        691;19060101;19060131;    5;   -999;    93.0;-999;   16.5;eor
        691;19060201;19060228;    5;   -999;    57.9;-999;   14.2;eor
        691;19060301;19060331;    5;   -999;    43.6;-999;    6.3;eor
        691;19060401;19060430;    5;   -999;    28.2;-999;    6.9;eor
        691;19060501;19060531;    5;   -999;   117.7;-999;   21.1;eor
        691;19060601;19060630;    5;   -999;    41.5;-999;   14.6;eor
        691;19060701;19060731;    5;   -999;    56.9;-999;   19.7;eor
        691;19060801;19060831;    5;   -999;    70.5;-999;   22.4;eor
        691;19060901;19060930;    5;   -999;    44.3;-999;   14.6;eor
        691;19061001;19061031;    5;   -999;    29.6;-999;   18.6;eor
        691;19061101;19061130;    5;   -999;    53.9;-999;   14.6;eor
        691;19061201;19061231;    5;   -999;    72.6;-999;   17.8;eor
        691;19070101;19070131;    5;   -999;    42.9;-999;    8.3;eor
        691;19070201;19070228;    5;   -999;    30.0;-999;    4.5;eor
        691;19070301;19070331;    5;   -999;    25.5;-999;    7.2;eor
        691;19070401;19070430;    5;   -999;    17.7;-999;    5.1;eor
        691;19070501;19070531;    5;   -999;    45.7;-999;    8.4;eor
        691;19070601;19070630;    5;   -999;    59.8;-999;   12.0;eor
        691;19070701;19070731;    5;   -999;    50.2;-999;   10.5;eor
        691;19070801;19070831;    5;   -999;    51.9;-999;   14.0;eor
        691;19070901;19070930;    5;   -999;    10.3;-999;    4.8;eor
        691;19071001;19071031;    5;   -999;    32.8;-999;   14.1;eor
        691;19071101;19071130;    5;   -999;    30.4;-999;    6.1;eor
        691;19071201;19071231;    5;   -999;    59.9;-999;   10.5;eor
        691;19080101;19080131;    5;   -999;    40.5;-999;   10.4;eor
        691;19080201;19080229;    5;   -999;    41.5;-999;    6.0;eor
