Territorium	Lat	Lon
Welzow	51.58	14.17
Spremberg	51.57	14.38
Seenland	51.51	14.19
Nochten	51.43	14.59
Niesky	51.29	14.83
Neustadt	51.02	14.21
Muskauer Heide	51.45	14.71
Milkel	51.29	14.45
Lieberose	51.98	14.30
Lehnin	52.34	12.68
Königsbrücker Heide	51.34	13.87
Jüterbog West	52.00	13.08
Daubitz	51.41	14.83
Dauban	51.27	14.63
Altengrabow	52.21	12.19
Sperenberg-Jüterbog	52.14	13.37
Seese	52.13	13.22
Munster	51.96	7.63
Milkel II	51.35	14.41
Hohwald	51.04	14.29
Göritz (Klepzig)	52.00	12.47
